exp_type,dataset,attack,eps,target_class,asr,n_samples
A,MNIST,FGSM_Targeted,0.05,8,0.002802,8922
A,MNIST,FGSM_Targeted,0.1,8,0.016476,8922
A,MNIST,FGSM_Targeted,0.2,8,0.139767,8922
A,MNIST,FGSM_Targeted,0.3,8,0.365837,8922
A,MNIST,FGSM_Targeted,0.4,8,0.365501,8922
A,MNIST,FGSM_Targeted,0.5,8,0.311365,8922
A,MNIST,PGD_Targeted,0.05,8,0.003811,8922
A,MNIST,PGD_Targeted,0.1,8,0.04842,8922
A,MNIST,PGD_Targeted,0.2,8,0.900471,8922
A,MNIST,PGD_Targeted,0.3,8,1.0,8922
A,MNIST,PGD_Targeted,0.4,8,1.0,8922
A,MNIST,PGD_Targeted,0.5,8,1.0,8922
A,CIFAR-10,FGSM_Targeted,0.05,8,0.228873,7869
A,CIFAR-10,FGSM_Targeted,0.1,8,0.278561,7869
A,CIFAR-10,FGSM_Targeted,0.2,8,0.213242,7869
A,CIFAR-10,FGSM_Targeted,0.3,8,0.120727,7869
A,CIFAR-10,FGSM_Targeted,0.4,8,0.041047,7869
A,CIFAR-10,FGSM_Targeted,0.5,8,0.011564,7869
A,CIFAR-10,PGD_Targeted,0.05,8,0.930995,7869
A,CIFAR-10,PGD_Targeted,0.1,8,0.999238,7869
A,CIFAR-10,PGD_Targeted,0.2,8,1.0,7869
A,CIFAR-10,PGD_Targeted,0.3,8,1.0,7869
A,CIFAR-10,PGD_Targeted,0.4,8,1.0,7869
A,CIFAR-10,PGD_Targeted,0.5,8,1.0,7869
B,MNIST,FGSM_Untargeted,0.05,,0.024896,9881
B,MNIST,FGSM_Untargeted,0.1,,0.089363,9881
B,MNIST,FGSM_Untargeted,0.2,,0.427285,9881
B,MNIST,FGSM_Untargeted,0.3,,0.813177,9881
B,MNIST,FGSM_Untargeted,0.4,,0.92855,9881
B,MNIST,FGSM_Untargeted,0.5,,0.928044,9881
B,MNIST,PGD_Untargeted,0.05,,0.033094,9881
B,MNIST,PGD_Untargeted,0.1,,0.2185,9881
B,MNIST,PGD_Untargeted,0.2,,0.984111,9881
B,MNIST,PGD_Untargeted,0.3,,1.0,9881
B,MNIST,PGD_Untargeted,0.4,,1.0,9881
B,MNIST,PGD_Untargeted,0.5,,1.0,9881
B,CIFAR-10,FGSM_Untargeted,0.05,,0.835209,8799
B,CIFAR-10,FGSM_Untargeted,0.1,,0.919082,8799
B,CIFAR-10,FGSM_Untargeted,0.2,,0.933515,8799
B,CIFAR-10,FGSM_Untargeted,0.3,,0.922946,8799
B,CIFAR-10,FGSM_Untargeted,0.4,,0.911354,8799
B,CIFAR-10,FGSM_Untargeted,0.5,,0.907717,8799
B,CIFAR-10,PGD_Untargeted,0.05,,0.996704,8799
B,CIFAR-10,PGD_Untargeted,0.1,,1.0,8799
B,CIFAR-10,PGD_Untargeted,0.2,,1.0,8799
B,CIFAR-10,PGD_Untargeted,0.3,,1.0,8799
B,CIFAR-10,PGD_Untargeted,0.4,,1.0,8799
B,CIFAR-10,PGD_Untargeted,0.5,,1.0,8799
C,MNIST,FGSM_Targeted,0.3,0,0.058612,8906
C,MNIST,FGSM_Targeted,0.3,1,0.229319,8752
C,MNIST,FGSM_Targeted,0.3,2,0.818428,8856
C,MNIST,FGSM_Targeted,0.3,3,0.576433,8877
C,MNIST,FGSM_Targeted,0.3,4,0.208389,8916
C,MNIST,FGSM_Targeted,0.3,5,0.378544,8995
C,MNIST,FGSM_Targeted,0.3,6,0.129141,8936
C,MNIST,FGSM_Targeted,0.3,7,0.098039,8874
C,MNIST,FGSM_Targeted,0.3,8,0.365837,8922
C,MNIST,FGSM_Targeted,0.3,9,0.182912,8895
C,MNIST,PGD_Targeted,0.3,0,0.995733,8906
C,MNIST,PGD_Targeted,0.3,1,1.0,8752
C,MNIST,PGD_Targeted,0.3,2,1.0,8856
C,MNIST,PGD_Targeted,0.3,3,1.0,8877
C,MNIST,PGD_Targeted,0.3,4,0.998991,8916
C,MNIST,PGD_Targeted,0.3,5,1.0,8995
C,MNIST,PGD_Targeted,0.3,6,0.999664,8936
C,MNIST,PGD_Targeted,0.3,7,0.999775,8874
C,MNIST,PGD_Targeted,0.3,8,1.0,8922
C,MNIST,PGD_Targeted,0.3,9,0.997527,8895
C,CIFAR-10,FGSM_Targeted,0.3,0,0.152502,7895
C,CIFAR-10,FGSM_Targeted,0.3,1,0.089027,7874
C,CIFAR-10,FGSM_Targeted,0.3,2,0.548006,7947
C,CIFAR-10,FGSM_Targeted,0.3,3,0.321028,8018
C,CIFAR-10,FGSM_Targeted,0.3,4,0.416509,7935
C,CIFAR-10,FGSM_Targeted,0.3,5,0.070814,8021
C,CIFAR-10,FGSM_Targeted,0.3,6,0.600892,7850
C,CIFAR-10,FGSM_Targeted,0.3,7,0.047878,7916
C,CIFAR-10,FGSM_Targeted,0.3,8,0.120727,7869
C,CIFAR-10,FGSM_Targeted,0.3,9,0.121663,7866
C,CIFAR-10,PGD_Targeted,0.3,0,1.0,7895
C,CIFAR-10,PGD_Targeted,0.3,1,0.999746,7874
C,CIFAR-10,PGD_Targeted,0.3,2,1.0,7947
C,CIFAR-10,PGD_Targeted,0.3,3,1.0,8018
C,CIFAR-10,PGD_Targeted,0.3,4,1.0,7935
C,CIFAR-10,PGD_Targeted,0.3,5,1.0,8021
C,CIFAR-10,PGD_Targeted,0.3,6,1.0,7850
C,CIFAR-10,PGD_Targeted,0.3,7,1.0,7916
C,CIFAR-10,PGD_Targeted,0.3,8,1.0,7869
C,CIFAR-10,PGD_Targeted,0.3,9,1.0,7866
