experiment,sample_idx,label,epsilon,result,time_s,adv_class
robustness,0,a,0.01,UNSAT,5.545,-
robustness,1,a,0.01,UNSAT,5.098,-
robustness,2,a,0.01,UNSAT,4.424,-
robustness,3,a,0.01,SAT,3.309,q
robustness,4,a,0.01,UNSAT,5.619,-
robustness,5,a,0.01,UNSAT,3.282,-
robustness,6,a,0.01,UNSAT,5.355,-
robustness,7,a,0.01,UNSAT,5.116,-
robustness,8,a,0.01,UNSAT,5.662,-
robustness,9,a,0.01,UNSAT,4.697,-
robustness,800,b,0.01,UNSAT,5.439,-
robustness,801,b,0.01,UNSAT,3.271,-
robustness,802,b,0.01,UNSAT,5.295,-
robustness,803,b,0.01,UNSAT,4.588,-
robustness,804,b,0.01,UNSAT,5.342,-
robustness,805,b,0.01,UNSAT,4.931,-
robustness,806,b,0.01,UNSAT,5.726,-
robustness,807,b,0.01,UNSAT,4.241,-
robustness,808,b,0.01,UNSAT,5.21,-
robustness,809,b,0.01,UNSAT,4.793,-
robustness,1600,c,0.01,UNSAT,4.228,-
robustness,1601,c,0.01,UNSAT,4.83,-
robustness,1602,c,0.01,UNSAT,5.29,-
robustness,1603,c,0.01,SAT,2.677,o
robustness,1604,c,0.01,UNSAT,4.929,-
robustness,1605,c,0.01,UNSAT,5.016,-
robustness,1606,c,0.01,UNSAT,4.989,-
robustness,1607,c,0.01,UNSAT,4.63,-
robustness,1608,c,0.01,UNSAT,4.958,-
robustness,1609,c,0.01,UNSAT,3.961,-
robustness,2400,d,0.01,SAT,114.145,r
robustness,2401,d,0.01,UNSAT,5.333,-
robustness,2402,d,0.01,UNSAT,4.649,-
robustness,2403,d,0.01,UNSAT,3.639,-
robustness,2404,d,0.01,UNSAT,5.13,-
robustness,2405,d,0.01,UNSAT,5.235,-
robustness,2406,d,0.01,UNSAT,5.695,-
robustness,2407,d,0.01,UNSAT,4.693,-
robustness,2408,d,0.01,UNSAT,5.674,-
robustness,2409,d,0.01,UNSAT,4.608,-
robustness,3200,e,0.01,UNSAT,4.518,-
robustness,3201,e,0.01,UNSAT,4.267,-
robustness,3202,e,0.01,UNSAT,4.506,-
robustness,3203,e,0.01,UNSAT,5.004,-
robustness,3204,e,0.01,UNSAT,4.587,-
robustness,3205,e,0.01,UNSAT,3.861,-
robustness,3206,e,0.01,UNSAT,3.557,-
robustness,3207,e,0.01,UNSAT,4.528,-
robustness,3208,e,0.01,UNSAT,3.656,-
robustness,3209,e,0.01,UNSAT,5.44,-
robustness,4000,f,0.01,UNSAT,4.644,-
robustness,4001,f,0.01,UNSAT,5.716,-
robustness,4002,f,0.01,UNSAT,3.663,-
robustness,4003,f,0.01,SAT,3.804,p
robustness,4004,f,0.01,UNSAT,5.653,-
robustness,4005,f,0.01,UNSAT,4.407,-
robustness,4006,f,0.01,UNSAT,5.603,-
robustness,4007,f,0.01,UNSAT,5.2,-
robustness,4008,f,0.01,UNSAT,4.421,-
robustness,4009,f,0.01,UNSAT,4.263,-
robustness,4800,g,0.01,UNSAT,5.789,-
robustness,4801,g,0.01,UNSAT,4.31,-
robustness,4802,g,0.01,UNSAT,3.376,-
robustness,4803,g,0.01,UNSAT,4.446,-
robustness,4804,g,0.01,UNSAT,5.373,-
robustness,4805,g,0.01,UNSAT,5.383,-
robustness,4806,g,0.01,SAT,3.517,q
robustness,4807,g,0.01,UNSAT,3.37,-
robustness,4808,g,0.01,UNSAT,5.517,-
robustness,4809,g,0.01,UNSAT,3.652,-
robustness,5600,h,0.01,UNSAT,4.328,-
robustness,5601,h,0.01,UNSAT,5.053,-
robustness,5602,h,0.01,SAT,2.627,l
robustness,5603,h,0.01,UNSAT,5.838,-
robustness,5604,h,0.01,UNSAT,5.328,-
robustness,5605,h,0.01,UNSAT,4.217,-
robustness,5606,h,0.01,UNSAT,5.72,-
robustness,5607,h,0.01,UNSAT,5.654,-
robustness,5608,h,0.01,UNSAT,4.464,-
robustness,5609,h,0.01,UNSAT,5.626,-
robustness,6400,i,0.01,SAT,2.803,i
robustness,6401,i,0.01,SAT,1.214,x
robustness,6402,i,0.01,UNSAT,5.71,-
robustness,6403,i,0.01,SAT,3.996,l
robustness,6404,i,0.01,SAT,3.257,l
robustness,6405,i,0.01,SAT,2.789,l
robustness,6406,i,0.01,SAT,0.991,l
robustness,6407,i,0.01,UNSAT,5.668,-
robustness,6408,i,0.01,UNSAT,99.571,-
robustness,6409,i,0.01,UNSAT,5.457,-
robustness,7200,j,0.01,SAT,2.624,i
robustness,7201,j,0.01,UNSAT,4.471,-
robustness,7202,j,0.01,UNSAT,3.373,-
robustness,7203,j,0.01,UNSAT,5.413,-
robustness,7204,j,0.01,UNSAT,4.98,-
robustness,7205,j,0.01,UNSAT,3.769,-
robustness,7206,j,0.01,UNSAT,4.973,-
robustness,7207,j,0.01,UNSAT,5.683,-
robustness,7208,j,0.01,UNSAT,4.674,-
robustness,7209,j,0.01,UNSAT,4.463,-
robustness,8000,k,0.01,UNSAT,5.683,-
robustness,8001,k,0.01,UNSAT,5.801,-
robustness,8002,k,0.01,UNSAT,4.92,-
robustness,8003,k,0.01,UNSAT,3.658,-
robustness,8004,k,0.01,UNSAT,5.208,-
robustness,8005,k,0.01,UNSAT,4.605,-
robustness,8006,k,0.01,UNSAT,5.06,-
robustness,8007,k,0.01,UNSAT,3.886,-
robustness,8008,k,0.01,UNSAT,3.865,-
robustness,8009,k,0.01,UNSAT,3.284,-
robustness,8800,l,0.01,UNSAT,5.677,-
robustness,8801,l,0.01,UNSAT,5.61,-
robustness,8802,l,0.01,UNSAT,5.622,-
robustness,8803,l,0.01,UNSAT,5.656,-
robustness,8804,l,0.01,UNSAT,5.744,-
robustness,8805,l,0.01,UNSAT,5.694,-
robustness,8806,l,0.01,UNSAT,5.747,-
robustness,8807,l,0.01,SAT,2.234,i
robustness,8808,l,0.01,UNSAT,5.689,-
robustness,8809,l,0.01,SAT,2.627,i
robustness,9600,m,0.01,UNSAT,5.134,-
robustness,9601,m,0.01,UNSAT,5.73,-
robustness,9602,m,0.01,UNSAT,3.381,-
robustness,9603,m,0.01,UNSAT,4.057,-
robustness,9604,m,0.01,UNSAT,5.177,-
robustness,9605,m,0.01,UNSAT,3.58,-
robustness,9606,m,0.01,UNSAT,3.564,-
robustness,9607,m,0.01,UNSAT,3.858,-
robustness,9608,m,0.01,UNSAT,3.669,-
robustness,9609,m,0.01,UNSAT,3.375,-
robustness,10400,n,0.01,UNSAT,3.469,-
robustness,10401,n,0.01,UNSAT,4.059,-
robustness,10402,n,0.01,UNSAT,5.766,-
robustness,10403,n,0.01,UNSAT,4.042,-
robustness,10404,n,0.01,UNSAT,5.676,-
robustness,10405,n,0.01,UNSAT,3.852,-
robustness,10406,n,0.01,UNSAT,3.659,-
robustness,10407,n,0.01,UNSAT,3.934,-
robustness,10408,n,0.01,UNSAT,3.669,-
robustness,10409,n,0.01,UNSAT,3.755,-
robustness,11200,o,0.01,UNSAT,4.77,-
robustness,11201,o,0.01,UNSAT,3.656,-
robustness,11202,o,0.01,UNSAT,3.753,-
robustness,11203,o,0.01,UNSAT,3.372,-
robustness,11204,o,0.01,UNSAT,3.463,-
robustness,11205,o,0.01,UNSAT,5.684,-
robustness,11206,o,0.01,UNSAT,3.845,-
robustness,11207,o,0.01,UNSAT,4.05,-
robustness,11208,o,0.01,UNSAT,4.398,-
robustness,11209,o,0.01,UNSAT,5.397,-
robustness,12000,p,0.01,UNSAT,4.18,-
robustness,12001,p,0.01,UNSAT,5.254,-
robustness,12002,p,0.01,SAT,1.693,f
robustness,12003,p,0.01,UNSAT,5.231,-
robustness,12004,p,0.01,UNSAT,5.689,-
robustness,12005,p,0.01,UNSAT,3.884,-
robustness,12006,p,0.01,UNSAT,5.762,-
robustness,12007,p,0.01,UNSAT,5.873,-
robustness,12008,p,0.01,UNSAT,5.764,-
robustness,12009,p,0.01,UNSAT,4.205,-
robustness,12800,q,0.01,UNSAT,3.66,-
robustness,12801,q,0.01,UNSAT,3.374,-
robustness,12802,q,0.01,SAT,0.501,a
robustness,12803,q,0.01,UNSAT,4.999,-
robustness,12804,q,0.01,UNSAT,93.753,-
robustness,12805,q,0.01,UNSAT,4.302,-
robustness,12806,q,0.01,UNSAT,5.778,-
robustness,12807,q,0.01,UNSAT,3.274,-
robustness,12808,q,0.01,SAT,0.517,a
robustness,12809,q,0.01,UNSAT,4.237,-
robustness,13600,r,0.01,UNSAT,3.272,-
robustness,13601,r,0.01,UNSAT,4.358,-
robustness,13602,r,0.01,UNSAT,5.646,-
robustness,13603,r,0.01,UNSAT,4.528,-
robustness,13604,r,0.01,UNSAT,5.673,-
robustness,13605,r,0.01,UNSAT,5.532,-
robustness,13606,r,0.01,SAT,1.247,n
robustness,13607,r,0.01,UNSAT,4.185,-
