experiment,sample_idx,label,epsilon,result,time_s
robustness,0,a,0.01,verified,0.0
robustness,1,a,0.01,verified,0.0
robustness,2,a,0.01,verified,0.0
robustness,3,a,0.01,falsified,0.0
robustness,4,a,0.01,verified,0.0
robustness,5,a,0.01,verified,0.0
robustness,6,a,0.01,verified,0.0
robustness,7,a,0.01,verified,0.0
robustness,8,a,0.01,verified,0.0
robustness,9,a,0.01,verified,0.0
robustness,800,b,0.01,verified,0.0
robustness,801,b,0.01,verified,0.0
robustness,802,b,0.01,verified,0.0
robustness,803,b,0.01,verified,0.0
robustness,804,b,0.01,verified,0.0
robustness,805,b,0.01,verified,0.0
robustness,806,b,0.01,verified,0.0
robustness,807,b,0.01,verified,0.0
robustness,808,b,0.01,verified,0.0
robustness,809,b,0.01,verified,0.0
robustness,1600,c,0.01,verified,0.0
robustness,1601,c,0.01,verified,0.0
robustness,1602,c,0.01,verified,0.0
robustness,1603,c,0.01,falsified,0.0
robustness,1604,c,0.01,verified,0.0
robustness,1605,c,0.01,verified,0.0
robustness,1606,c,0.01,verified,0.0
robustness,1607,c,0.01,verified,0.0
robustness,1608,c,0.01,verified,0.0
robustness,1609,c,0.01,verified,0.0
robustness,2400,d,0.01,falsified,0.0
robustness,2401,d,0.01,verified,0.0
robustness,2402,d,0.01,verified,0.0
robustness,2403,d,0.01,verified,0.0
robustness,2404,d,0.01,verified,0.0
robustness,2405,d,0.01,verified,0.0
robustness,2406,d,0.01,verified,0.0
robustness,2407,d,0.01,verified,0.0
robustness,2408,d,0.01,verified,0.0
robustness,2409,d,0.01,verified,0.0
robustness,3200,e,0.01,verified,0.0
robustness,3201,e,0.01,verified,0.0
robustness,3202,e,0.01,verified,0.0
robustness,3203,e,0.01,verified,0.0
robustness,3204,e,0.01,verified,0.0
robustness,3205,e,0.01,verified,0.0
robustness,3206,e,0.01,verified,0.0
robustness,3207,e,0.01,verified,0.0
robustness,3208,e,0.01,verified,0.0
robustness,3209,e,0.01,verified,0.0
robustness,4000,f,0.01,verified,0.0
robustness,4001,f,0.01,verified,0.0
robustness,4002,f,0.01,verified,0.0
robustness,4003,f,0.01,falsified,0.0
robustness,4004,f,0.01,verified,0.0
robustness,4005,f,0.01,verified,0.0
robustness,4006,f,0.01,verified,0.0
robustness,4007,f,0.01,verified,0.0
robustness,4008,f,0.01,verified,0.0
robustness,4009,f,0.01,verified,0.0
robustness,4800,g,0.01,verified,0.0
robustness,4801,g,0.01,verified,0.0
robustness,4802,g,0.01,verified,0.0
robustness,4803,g,0.01,verified,0.0
robustness,4804,g,0.01,verified,0.0
robustness,4805,g,0.01,verified,0.0
robustness,4806,g,0.01,falsified,0.0
robustness,4807,g,0.01,verified,0.0
robustness,4808,g,0.01,verified,0.0
robustness,4809,g,0.01,verified,0.0
robustness,5600,h,0.01,verified,0.0
robustness,5601,h,0.01,verified,0.0
robustness,5602,h,0.01,falsified,0.0
robustness,5603,h,0.01,verified,0.0
robustness,5604,h,0.01,verified,0.0
robustness,5605,h,0.01,verified,0.0
robustness,5606,h,0.01,verified,0.0
robustness,5607,h,0.01,verified,0.0
robustness,5608,h,0.01,verified,0.0
robustness,5609,h,0.01,verified,0.0
robustness,6400,i,0.01,falsified,0.0
robustness,6401,i,0.01,falsified,0.0
robustness,6402,i,0.01,verified,0.0
robustness,6403,i,0.01,falsified,0.0
robustness,6404,i,0.01,falsified,0.0
robustness,6405,i,0.01,falsified,0.0
robustness,6406,i,0.01,falsified,0.0
robustness,6407,i,0.01,verified,0.0
robustness,6408,i,0.01,verified,0.2421
robustness,6409,i,0.01,verified,0.0
robustness,7200,j,0.01,falsified,0.0
robustness,7201,j,0.01,verified,0.0
robustness,7202,j,0.01,verified,0.0
robustness,7203,j,0.01,verified,0.0
robustness,7204,j,0.01,verified,0.0
robustness,7205,j,0.01,verified,0.0
robustness,7206,j,0.01,verified,0.0
robustness,7207,j,0.01,verified,0.0
robustness,7208,j,0.01,verified,0.0
robustness,7209,j,0.01,verified,0.0
robustness,8000,k,0.01,verified,0.0
robustness,8001,k,0.01,verified,0.0
robustness,8002,k,0.01,verified,0.0
robustness,8003,k,0.01,verified,0.0
robustness,8004,k,0.01,verified,0.0
robustness,8005,k,0.01,verified,0.0
robustness,8006,k,0.01,verified,0.0
robustness,8007,k,0.01,verified,0.0
robustness,8008,k,0.01,verified,0.0
robustness,8009,k,0.01,verified,0.0
robustness,8800,l,0.01,verified,0.0
robustness,8801,l,0.01,verified,0.0
robustness,8802,l,0.01,verified,0.0
robustness,8803,l,0.01,verified,0.0
robustness,8804,l,0.01,verified,0.0
robustness,8805,l,0.01,verified,0.0
robustness,8806,l,0.01,verified,0.0
robustness,8807,l,0.01,falsified,0.0
robustness,8808,l,0.01,verified,0.0
robustness,8809,l,0.01,falsified,0.0
robustness,9600,m,0.01,verified,0.0
robustness,9601,m,0.01,verified,0.0
robustness,9602,m,0.01,verified,0.0
robustness,9603,m,0.01,verified,0.0
robustness,9604,m,0.01,verified,0.0
robustness,9605,m,0.01,verified,0.0
robustness,9606,m,0.01,verified,0.0
robustness,9607,m,0.01,verified,0.0
robustness,9608,m,0.01,verified,0.0
robustness,9609,m,0.01,verified,0.0
robustness,10400,n,0.01,verified,0.0
robustness,10401,n,0.01,verified,0.0
robustness,10402,n,0.01,verified,0.0
robustness,10403,n,0.01,verified,0.0
robustness,10404,n,0.01,verified,0.0
robustness,10405,n,0.01,verified,0.0
robustness,10406,n,0.01,verified,0.0
robustness,10407,n,0.01,verified,0.0
robustness,10408,n,0.01,verified,0.0
robustness,10409,n,0.01,verified,0.0
robustness,11200,o,0.01,verified,0.0
robustness,11201,o,0.01,verified,0.0
robustness,11202,o,0.01,verified,0.0
robustness,11203,o,0.01,verified,0.0
robustness,11204,o,0.01,verified,0.0
robustness,11205,o,0.01,verified,0.0
